HEATID,TAP_first,STARTTIME_first,DURATION_SEC,MW_mean,TEMP_mean,TEMP_p95,VALO2_mean,VALO2_p95,O2_AMOUNT_sum,GAS_AMOUNT_sum,O2_FLOW_mean,GAS_FLOW_mean
5F0092,12,2015-01-04 15:14:00,131400.0,3.6964285714285716,1630.5714285714287,1637.7,739.4285714285714,791.0,813014.0,244492.0,3614.3002915451893,1199.4344023323615
5F0093,13,2015-01-04 16:19:00,127800.0,5.305555555555555,1649.0,1649.9,990.5,1080.95,503923.0,165960.0,3518.9494584837544,1256.9675090252708
5F0095,12,2015-01-04 18:24:00,123600.0,4.8875,1633.0,1652.1,895.0,1012.9,494835.0,166362.0,3880.8333333333335,1304.1340579710145
5F0096,12,2015-01-04 19:00:00,122400.0,5.90625,1651.0,1651.9,991.0,1015.3,419528.0,150298.0,4281.069230769231,1407.926923076923
5F0098,15,2015-01-04 20:46:00,121800.0,5.013888888888889,1651.0,1666.3,877.5,877.95,434206.0,171465.0,3944.6539923954374,1669.7490494296578
5F0100,15,2015-01-04 22:45:00,124200.0,4.6375,1652.0,1652.0,757.0,757.0,390069.0,151742.0,4619.444444444444,1661.897119341564
5F0101,15,2015-01-04 23:59:00,130860.0,4.625,1627.2222222222222,1657.4,424.8888888888889,664.6,450463.0,174865.0,4123.412878787879,1604.6401515151515
5F0102,15,2015-01-05 00:34:00,126600.0,5.416666666666667,1616.0,1619.6,538.0,582.1,408493.0,157010.0,4379.822834645669,1587.0
5F0103,15,2015-01-05 01:41:00,120660.0,4.5875,1655.1666666666667,1664.0,975.6666666666666,1143.5,458942.0,150106.0,4657.273809523809,1340.0119047619048
5F0104,15,2015-01-05 02:03:00,118800.0,4.986111111111111,1660.5,1660.95,827.0,859.4,379620.0,150442.0,4348.252066115702,1721.7148760330579
5F0105,12,2015-01-05 02:40:00,124200.0,5.921875,1634.1666666666667,1651.75,906.0,1082.75,505442.0,169521.0,4440.186131386861,1321.7554744525548
5F0106,15,2015-01-05 04:06:00,124800.0,5.1,1615.0,1651.5,726.6666666666666,772.8,448419.0,171205.0,4319.072519083969,1622.324427480916
5F0108,11,2015-01-05 05:08:00,125400.0,5.347222222222222,1640.5,1676.65,1074.25,1362.5,459436.0,150041.0,3930.0576923076924,1280.926923076923
5F0109,13,2015-01-05 05:57:00,114000.0,5.859375,1646.5,1673.5,1116.25,1341.05,428513.0,138323.0,4309.270588235294,1251.2235294117647
